,subtype_original,py_cluster,1,2,centroid_1,centroid_2,orig_subtype_centroid_1,orig_subtype_centroid_2
GSM529305,SHH,1,29.7250645286,120.365592399,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529306,Group 3,4,40.7492956241,-15.0925282479,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529307,SHH,1,30.693780359,29.252512403,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529308,SHH,1,52.8325213227,70.3848836156,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529309,Group 4,2,-98.2940912042,-21.3465160169,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529310,SHH,1,75.7993280506,108.134862099,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529311,SHH,1,53.4425512078,118.17997776,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529312,WNT,3,-51.7659660417,117.382401193,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529313,SHH,1,98.3666021793,84.1962912752,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529314,Group 4,2,-3.55361966111,-42.8757511856,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529315,SHH,3,2.47539841464,53.6352330281,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529316,Group 4,2,-37.1299310857,-117.645147128,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529317,Group 4,2,-22.0759379922,-101.991747242,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529318,Group 3,1,173.162531623,132.604740801,64.29040323759202,73.56053651294411,36.04150894371244,-19.68945325802027
GSM529319,Group 4,2,-37.3084301964,-59.3018150717,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529320,SHH,1,22.982976173,138.127550187,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529321,Group 3,4,72.6551635899,-57.7859864877,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529322,Group 4,2,-16.2140647595,-116.325751994,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529323,WNT,3,-46.4955107083,134.083889,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529324,Group 3,3,-26.6236025387,17.7790067695,-53.276730371638145,67.82164630529347,36.04150894371244,-19.68945325802027
GSM529325,SHH,3,4.61716743607,74.7892334709,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529326,Group 4,2,-74.4620500297,-125.802883215,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529327,SHH,1,116.163823902,90.0358634275,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529328,Group 4,2,-21.5013184644,-132.967399853,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529329,Group 4,2,-59.9718101219,-114.804736861,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529330,Group 4,2,-16.8311654936,-71.489299923,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529331,Group 4,2,-22.3281116116,-56.2014705444,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529332,SHH,3,-3.78497344099,35.5002014809,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529333,SHH,1,35.8456399216,84.3432140435,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529334,Group 4,2,-70.7842258874,-96.9399316739,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529335,SHH,3,-1.98676611581,95.0199762251,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529336,Group 4,4,40.3170963061,-78.3599906651,56.75719515379481,-44.23675708315176,-44.22623227111378,-76.671816047172
GSM529337,Group 4,2,-69.8980654322,-83.3936386754,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529338,WNT,3,-84.2132446634,42.0577549627,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529339,Group 3,4,89.8932695158,-32.9175327003,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529340,WNT,3,-88.0082349499,95.0542108972,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529341,WNT,3,-152.368243074,59.6241760245,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529342,Group 3,4,181.608241089,-9.6159646484,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529343,Group 3,2,-12.3558221899,-35.9186278721,-53.72031926414834,-75.09438453544614,36.04150894371244,-19.68945325802027
GSM529344,Group 3,4,17.1565908586,-47.4919999592,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529345,Group 4,2,-62.2362259587,-78.4038077786,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529346,Group 3,4,135.57109599,-19.6842440453,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529347,Group 3,3,-34.0450252547,33.1758442809,-53.276730371638145,67.82164630529347,36.04150894371244,-19.68945325802027
GSM529348,Group 4,2,-90.3218164733,-58.6838488606,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529349,SHH,1,43.875021308,59.288410878,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529350,SHH,1,109.768653106,27.9638365922,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529351,SHH,1,79.2856957451,48.0371036753,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529352,SHH,1,52.0625350627,25.0238788459,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529353,Group 4,2,-0.0763003472501,-63.1142496684,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529354,SHH,1,10.6239991161,113.971683376,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529355,Group 3,4,94.1103290659,-8.78078277214,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529356,SHH,1,32.376812557,69.4487153492,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529357,SHH,1,27.1164268304,101.075923479,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529358,Group 3,4,17.8764979427,-1.70558026537,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529359,Group 4,3,-53.5369892349,-2.20117456878,-53.276730371638145,67.82164630529347,-44.22623227111378,-76.671816047172
GSM529360,SHH,1,68.1240830584,27.1102335391,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529361,Group 4,2,-78.7297041081,-176.511770071,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529362,Group 3,4,64.3269238072,-131.39216051,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529363,Group 4,4,93.7789631276,-73.582722248,56.75719515379481,-44.23675708315176,-44.22623227111378,-76.671816047172
GSM529364,Group 3,4,22.0775750706,-72.2480682142,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529365,Group 4,2,-107.394534828,-149.984668821,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529366,WNT,3,-48.0989220499,61.1923512885,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529367,Group 4,2,-70.8081975881,-33.9102321851,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529368,WNT,3,-48.3223871505,92.7891731205,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529369,Group 4,2,-37.0364386106,-95.4630218786,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529370,Group 3,3,-15.1451455667,137.919883804,-53.276730371638145,67.82164630529347,36.04150894371244,-19.68945325802027
GSM529371,Group 3,4,-5.67733564894,-0.717534766442,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529372,SHH,1,108.139406056,108.57182234,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529373,SHH,4,150.405706997,-36.5848939532,56.75719515379481,-44.23675708315176,52.53207324401707,68.95395111737301
GSM529374,SHH,1,107.130903399,79.0740785115,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529375,Group 4,2,-61.7866046194,-104.906677084,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529376,SHH,1,67.629881095,87.3001424143,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529377,Group 4,4,24.5587083244,-117.547338414,56.75719515379481,-44.23675708315176,-44.22623227111378,-76.671816047172
GSM529378,WNT,3,-59.8722960392,98.8860045074,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529379,SHH,1,91.4399553675,76.7888463024,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529380,SHH,1,90.3584891779,39.00729402,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529381,SHH,3,-17.9136810471,78.7128751949,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529382,Group 4,2,-110.280366264,-68.7202977886,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529383,SHH,1,100.652983974,100.732716674,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529384,Group 4,2,2.84895124668,-110.033249559,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529385,Group 3,4,67.1768355078,-22.5638443689,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529386,Group 3,4,19.7943607069,-26.2200698308,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529387,Group 3,4,57.8016257379,-80.8851564813,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529388,Group 3,4,64.6883141742,-12.696312932,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529389,Group 3,2,2.74841987947,-83.5617639423,-53.72031926414834,-75.09438453544614,36.04150894371244,-19.68945325802027
GSM529390,Group 4,2,-47.6429810326,-60.7285874788,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529391,Group 4,2,-45.4797143987,-89.337436011,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529392,SHH,1,25.8557885015,43.2247385049,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529393,SHH,3,-8.72510002466,27.9379258521,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529394,Group 3,4,79.7480592614,-32.0913899971,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529395,Group 3,3,-83.591359239,14.7973072922,-53.276730371638145,67.82164630529347,36.04150894371244,-19.68945325802027
GSM529396,Group 4,4,68.6565991075,-106.424675157,56.75719515379481,-44.23675708315176,-44.22623227111378,-76.671816047172
GSM529397,Group 4,2,-40.9778993417,-37.121406904,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529398,Group 4,2,-99.1375315097,-44.2508813745,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529399,Group 3,2,-128.772229797,-9.17170460719,-53.72031926414834,-75.09438453544614,36.04150894371244,-19.68945325802027
GSM529400,Group 3,4,43.6423966245,-53.3266684895,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529401,Group 3,4,60.3483304981,-34.5959848234,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529402,Group 4,2,-104.379850232,-102.777197589,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529403,Group 4,2,-74.6324271057,-8.22070861436,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529404,SHH,1,18.7425853553,63.7010190662,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529405,SHH,1,18.019456666,30.7829115612,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529406,Group 3,4,27.6359254267,-91.516255056,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529407,Group 4,2,-87.786979774,-75.5692503134,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529785,SHH,1,33.6535398026,118.496585895,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529786,Group 3,4,37.6226940992,-11.858182496,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529787,SHH,1,38.0990240673,28.0154129068,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529788,SHH,1,59.931554262,70.1929522008,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529789,Group 4,2,-102.261828524,-19.6896741325,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529790,SHH,1,79.7714537045,110.242934648,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529791,SHH,1,57.6378621045,119.943019698,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529792,WNT,3,-47.4403218999,118.704017712,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529793,SHH,3,-1.05798547897,56.3049778656,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529794,Group 4,2,-39.6577876954,-130.807228645,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529795,Group 4,2,-19.5518998248,-98.3629699767,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529796,Group 3,1,169.2692661,134.552159351,64.29040323759202,73.56053651294411,36.04150894371244,-19.68945325802027
GSM529797,Group 4,2,-53.6240549892,-38.7122280508,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529798,SHH,1,18.9776164819,136.10967478,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529799,Group 3,4,77.0092429457,-57.0208540773,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529800,Group 4,2,-11.8780210119,-117.860985503,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529801,WNT,3,-107.230096581,119.859974156,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529802,Group 3,3,-34.898221773,5.4406871958,-53.276730371638145,67.82164630529347,36.04150894371244,-19.68945325802027
GSM529803,SHH,1,6.91636427743,78.5908241311,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529804,Group 4,2,-72.2629517106,-129.752358017,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529805,Group 4,2,-17.1671147834,-134.73089133,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529806,Group 4,2,-55.8006985259,-112.225474379,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529807,Group 4,2,-14.5743264621,-75.1972026531,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529808,Group 4,2,-25.4187759704,-53.1919177695,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529809,SHH,3,-8.30181813096,36.177262377,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529810,SHH,1,34.8257625259,88.6642982101,64.29040323759202,73.56053651294411,52.53207324401707,68.95395111737301
GSM529811,Group 4,2,-66.5369279977,-98.759241885,-53.72031926414834,-75.09438453544614,-44.22623227111378,-76.671816047172
GSM529812,SHH,3,-5.19901863146,98.2415883134,-53.276730371638145,67.82164630529347,52.53207324401707,68.95395111737301
GSM529813,Group 4,4,41.6640306961,-74.0361646863,56.75719515379481,-44.23675708315176,-44.22623227111378,-76.671816047172
GSM529814,WNT,3,-80.0301764941,40.3876757809,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529815,Group 3,4,87.8191883659,-36.8461029801,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
GSM529816,WNT,3,-90.4059637452,91.1104559442,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529817,WNT,3,-156.599609349,58.6875898354,-53.276730371638145,67.82164630529347,-68.49265150794655,69.16467839256526
GSM529818,Group 3,4,186.112921338,-9.20711635375,56.75719515379481,-44.23675708315176,36.04150894371244,-19.68945325802027
